Category,Crop,Disease,Question,Answer,Keywords
Disease,green gram,anthracnose,What is the best fertilizer dose and schedule for green gram in red soil?,"In green gram, anthracnose shows sunken lesions with pink spore masses. Prevent by using certified seeds, crop rotation, and balanced NPK. For fungal diseases, spray mancozeb 0.25% or carbendazim 0.1% at first sign. Improve drainage and avoid late evening irrigation. Remove infected debris.","agriculture,anthracnose,disease,farming,green gram,india,red"
Pest,black gram,bacterial leaf spot,"What soil type and pH are ideal for black gram, and how do I improve my soil?","For black gram, integrate mechanical (handpicking), biological (Trichogramma), and chemical controls. Avoid tank mixes that harm beneficials. Follow label doses and pre-harvest intervals. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf spot,black gram,farming,india,loamy,pest"
Irrigation,banana,panama wilt,How do I set up protected cultivation or greenhouse for banana?,"Use 4–6 irrigations for banana depending on soil and rainfall. First irrigation 20–25 days after sowing, then at tillering, flowering, and grain filling. Drip/fertigation saves 30–40% water and improves uniformity. Mulching reduces evaporation. Avoid late heavy irrigation to prevent lodging.","agriculture,banana,farming,india,irrigation,laterite,panama wilt"
Weather,mango,bacterial canker,What is a good NPK plan for mango to avoid lodging and disease?,"In mango, avoid sowing during heatwaves (>38°C). Use early-morning irrigation and mulch to reduce heat stress. For cold waves, ensure adequate soil moisture and avoid late nitrogen. Watch IMD advisories for rainfall and temperature. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial canker,farming,india,laterite,mango,weather"
Soil,papaya,powdery mildew,How do I set up protected cultivation or greenhouse for papaya?,"In papaya, heavy clay soils need raised beds and proper drainage. Sandy soils benefit from mulching and frequent light irrigations. Loamy soils are ideal; maintain OC with crop residues and manures. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,laterite,papaya,powdery mildew,soil"
Government Scheme,grapes,anthracnose,What are good intercropping options with grapes to increase income?,"For grapes, PMFBY provides yield-based insurance at low premium. Enroll through banks or CSC before sowing. Maintain plot-wise records and cooperate during crop cutting experiments for claim settlement. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,anthracnose,farming,government_scheme,grapes,india"
Harvesting,pomegranate,cercospora leaf spot,What water conservation practices work best for pomegranate in my area?,"In pomegranate, early harvest reduces field losses and aflatoxin risk. Dry on clean tarps; avoid direct soil contact. Use moisture meters to ensure safe storage levels. Store in fumigated, rodent-proof structures. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,cercospora leaf spot,farming,harvesting,india,pomegranate"
Marketing,citrus,anthracnose,When and how should I harvest citrus to get maximum yield and quality?,"For citrus, PMFBY provides yield-based insurance at low premium. Enroll through banks or CSC before sowing. Maintain plot-wise records and cooperate during crop cutting experiments for claim settlement. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,citrus,clay,farming,india,marketing"
Organic Farming,turmeric,thrips damage,What are good intercropping options with turmeric to increase income?,"In turmeric, organic systems need strong IPM: traps, biocontrol agents, and botanicals. Ensure adequate K and micronutrients from organic sources. Plan harvest and post-harvest to maintain organic integrity. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,india,organic_farming,thrips damage,turmeric"
Seed Selection,garlic,rust,How do I practice organic farming in garlic without losing yield?,"In garlic, procure seeds from certified agencies. Check germination before sowing; aim for >85%. Avoid storage in humid conditions. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,garlic,india,rust,seed_selection"
Storage,coriander,bacterial leaf spot,How do I move towards regenerative agriculture in coriander?,"For coriander, maintain ventilation in stores. Use insect-proof screens. In humid areas, prefer hermetic storage. Avoid storing near chemicals or fertilizers to prevent contamination. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf spot,clay,coriander,farming,india,storage"
Post-Harvest,cumin,powdery mildew,What carbon farming practices can I adopt in cumin fields?,"Store cumin grains at 12–14% moisture in clean, dry, rodent-proof structures. Treat storage area with malathion dust. Use hermetic bags or PICS bags for pulses. Fumigate with aluminum phosphide if needed, following safety protocols. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,cumin,farming,india,post-harvest,powdery mildew"
Mechanization,rice,brown spot,How do I move towards regenerative agriculture in rice?,"In rice, use power tillers or tractors with appropriate implements. Adopt zero-till where feasible to save time and fuel. Train operators on safe handling and maintenance. Keep records of inputs and yields each season to refine your plan.","agriculture,brown spot,farming,india,laterite,mechanization,rice"
Intercropping,wheat,rust,Which machines or implements are useful for wheat to save labor and time?,"For wheat, relay cropping or sequential cropping maximizes land use. Maintain soil fertility with FYM and biofertilizers. Use crop-specific herbicides carefully. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,intercropping,red,rust,wheat"
Crop Rotation,maize,banded leaf and sheath blight,What are good intercropping options with maize to increase income?,"In maize, plan rotations around water availability. Use drought-tolerant crops in dry years and high-value crops in wet years. Maintain soil cover year-round. Keep records of inputs and yields each season to refine your plan.","agriculture,banded leaf and sheath blight,clay,crop_rotation,farming,india,maize"
Water Conservation,cotton,boll rot,How do I implement IPM in cotton step by step?,"Conserve water in cotton with mulching, zero-till, and micro-irrigation. Schedule irrigation based on soil moisture. Avoid flood irrigation in sandy soils. Keep records of inputs and yields each season to refine your plan.","agriculture,boll rot,cotton,farming,india,red,water_conservation"
Micronutrients,sugarcane,red rot,"How can I control top borer, internode borer, whitefly, termites in sugarcane using IPM and reduce chemical sprays?",Fe deficiency in sugarcane shows as interveinal chlorosis in young leaves. Apply Fe-EDDHA foliar (0.5%) or chelated Fe with irrigation. Improve drainage and avoid high pH soils. Keep records of inputs and yields each season to refine your plan.,"agriculture,clay,farming,india,micronutrients,red rot,sugarcane"
NPK Management,soybean,sudden death syndrome,Which irrigation method saves the most water for soybean without reducing yield?,"Balanced NPK in soybean improves yield and stress tolerance. Use soil test-based doses; typical ranges: N 80–120, P2O5 40–60, K2O 40–60 kg/ha. Split N in 2–3 doses; place P and K basally near seed. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,laterite,npk_management,soybean,sudden death syndrome"
IPM,tomato,bacterial wilt,What is a good NPK plan for tomato to avoid lodging and disease?,"For tomato, IPM starts with monitoring: pheromone traps, field scouting, and ETL-based sprays. Use biocontrol (Trichogramma, NPV) and botanicals (neem) early. Rotate insecticide groups to delay resistance. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial wilt,farming,india,ipm,red,tomato"
Weed Management,potato,scab,What GAP should I follow for potato to meet market and export standards?,"For potato, hand weeding is effective but labor-intensive. Combine with pre-emergence sprays and mulching. Keep field borders clean to reduce weed seed bank. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,india,potato,scab,weed_management"
Greenhouse,chilli,leaf curl virus,What water conservation practices work best for chilli in my area?,"Protected cultivation (shade nets, low tunnels) in chilli reduces pest and weather damage. Use drip fertigation and mulch. Monitor temperature and humidity to prevent diseases. Keep records of inputs and yields each season to refine your plan.","agriculture,chilli,farming,greenhouse,india,leaf curl virus,sandy"
Hydroponics,brinjal,bacterial wilt,How do I select and treat seeds for brinjal to improve germination?,"For brinjal, polyhouses improve yield and quality. Install fans and foggers for climate control. Use reflective mulch and trellising for better light distribution. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial wilt,brinjal,farming,hydroponics,india,sandy"
Carbon Farming,cabbage,black rot,What carbon farming practices can I adopt in cabbage fields?,"In cabbage, precision fertilizer use reduces N2O emissions. Use urease inhibitors and split N applications. Combine with renewable energy for irrigation. Keep records of inputs and yields each season to refine your plan.","agriculture,black rot,cabbage,carbon_farming,farming,india,red"
Regenerative Agriculture,cauliflower,alternaria leaf spot,How do I manage alternaria leaf spot in cauliflower? What are the symptoms and spray schedule?,"In cauliflower, combine traditional knowledge with modern science for regenerative outcomes. Use participatory trials and share results with neighbors. Seek technical support from agriculture departments. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,cauliflower,farming,india,red,regenerative_agriculture"
GAP,okra,root-knot nematode,How do I move towards regenerative agriculture in okra?,"For okra, GAP covers seed quality, soil health, water management, and worker safety. Use protective gear, calibrate sprayers, and keep input records. Train labor on safe handling. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,gap,india,loamy,okra,root-knot nematode"
Insurance,groundnut,collar rot,What carbon farming practices can I adopt in groundnut fields?,"Crop insurance (PMFBY) for groundnut covers yield losses due to weather, pests, and diseases. Enroll before sowing through banks or CSC. Cooperate during crop cutting experiments for claim settlement. Keep records of inputs and yields each season to refine your plan.","agriculture,collar rot,farming,groundnut,india,insurance,red"
Fertilizer,mustard,downy mildew,How do I set up protected cultivation or greenhouse for mustard?,"For mustard, start with a soil test. In most alluvial/loamy soils, apply 80–120 kg N/ha, 40–60 kg P2O5/ha, and 40–60 kg K2O/ha in splits. At sowing, place full P and K plus 1/3 N near the seed. Top-dress remaining N at tillering/vegetative stage and again at flowering. Add 5–10 t/ha FYM or compost before sowing. Use ZnSO4 (20–25 kg/ha) if deficient. Avoid excessive urea to prevent lodging and disease.","agriculture,downy mildew,farming,fertilizer,india,mustard,red"
Disease,sunflower,rust,Which government schemes can I use for sunflower cultivation and marketing?,"In sunflower, rust spreads in warm, humid conditions. Use protective sprays (mancozeb 0.25%) before monsoon peaks. Combine with resistant varieties and avoid overhead irrigation. Rotate with non-host crops to break disease cycles. Keep records of inputs and yields each season to refine your plan.","agriculture,black,disease,farming,india,rust,sunflower"
Pest,bajra,rust,How do I implement IPM in bajra step by step?,"In bajra, pests like shoot fly, stem borer, aphids cause yield loss. Use sticky traps for whiteflies/aphids. Apply recommended insecticides at correct doses. Maintain field hygiene and remove weed hosts. Keep records of inputs and yields each season to refine your plan.","agriculture,bajra,farming,india,pest,rust,sandy"
Irrigation,jowar,rust,Which machines or implements are useful for jowar to save labor and time?,"For jowar, maintain soil moisture at 50–60% field capacity. Use drip or furrow irrigation to save 20–30% water. Avoid waterlogging; ensure drainage in heavy soils. Critical stages: sowing, flowering, and pod/fruit set. In summer, irrigate every 5–7 days; in winter, every 8–10 days.","agriculture,farming,india,irrigation,jowar,red,rust"
Weather,ragi,blast,What are good intercropping options with ragi to increase income?,"In drought-prone areas, select short-duration ragi varieties. Use mulching, zero-till, and deficit irrigation. Apply 2% KNO3 foliar to mitigate heat stress. Avoid late sowing in rainfed zones. Keep records of inputs and yields each season to refine your plan.","agriculture,black,blast,farming,india,ragi,weather"
Soil,gram,alternaria blight,What is a good NPK plan for gram to avoid lodging and disease?,"In gram, soil testing every 2–3 years optimizes fertilizer use. Target OC >0.8%, available P >20 kg/ha, available K >200 kg/ha. Use micronutrients (Zn, B, S) based on deficiency symptoms and soil tests. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria blight,farming,gram,india,loamy,soil"
Government Scheme,pigeon pea,phytophthora blight,What water conservation practices work best for pigeon pea in my area?,"For pigeon pea, MSP announcements and procurement vary by state. Register on e-NAM for better market access. FPO membership can improve bargaining power. Explore agri-infrastructure funds for storage and processing. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,government_scheme,india,phytophthora blight,pigeon pea,red"
Harvesting,green gram,alternaria leaf spot,How should I plan crop rotation with green gram to improve soil health?,"Harvest green gram at physiological maturity: grains at 20–22% moisture, pods when 80–90% brown. Avoid delayed harvest to reduce shattering and field losses. Use combine harvesters where feasible; dry grains to 12–14% before storage. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,farming,green gram,harvesting,india,laterite"
Marketing,black gram,anthracnose,What are effective weed control methods for black gram that are safe and cheap?,"In black gram, agri-business ideas can access credit via NABARD and agri-clinics schemes. Explore FPO formation, common facility centers, and market linkage programs. Check state horticulture missions for post-harvest support. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,black gram,farming,india,marketing,red"
Organic Farming,banana,panama wilt,Which irrigation method saves the most water for banana without reducing yield?,"For banana, organic yields improve over 2–3 years as soil health builds. Use seed treatment with Trichoderma and biofertilizers. Avoid contamination from conventional inputs and maintain buffer zones. Keep records of inputs and yields each season to refine your plan.","agriculture,banana,farming,india,loamy,organic_farming,panama wilt"
Yield Improvement,mango,bacterial canker,"What soil type and pH are ideal for mango, and how do I improve my soil?","In mango, precision practices (line sowing, fertigation, leaf color chart for N) raise yields. Use crop-specific advisories and weather-based inputs. Maintain field records for next season planning. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,bacterial canker,farming,india,mango,yield_improvement"
Seed Selection,papaya,anthracnose,How should I plan crop rotation with papaya to improve soil health?,"In papaya, seed rate varies by method: line sowing needs less seed than broadcasting. Calibrate seed drills for uniform spacing. Avoid old or damaged seeds. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,farming,india,loamy,papaya,seed_selection"
Storage,grapes,black rot,How should I plan crop rotation with grapes to improve soil health?,"For grapes, maintain ventilation in stores. Use insect-proof screens. In humid areas, prefer hermetic storage. Avoid storing near chemicals or fertilizers to prevent contamination. Keep records of inputs and yields each season to refine your plan.","agriculture,black rot,farming,grapes,india,laterite,storage"
Post-Harvest,pomegranate,anthracnose,"What are the signs of Zn, B, or S deficiency in pomegranate and how do I correct them?","For pomegranate, maintain ventilation in stores. Use insect-proof screens. In humid areas, prefer hermetic storage. Avoid storing near chemicals or fertilizers to prevent contamination. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,clay,farming,india,pomegranate,post-harvest"
Mechanization,citrus,anthracnose,What is the best fertilizer dose and schedule for citrus in loamy soil?,"In citrus, drip fertigation systems improve input efficiency. Use filters and pressure regulators; flush lines regularly. Schedule irrigation based on soil moisture and crop stage. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,citrus,farming,india,loamy,mechanization"
Intercropping,turmeric,rhizome rot,Which irrigation method saves the most water for turmeric without reducing yield?,"For turmeric, relay cropping or sequential cropping maximizes land use. Maintain soil fertility with FYM and biofertilizers. Use crop-specific herbicides carefully. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,india,intercropping,rhizome rot,turmeric"
Crop Rotation,ginger,bacterial wilt,How do I move towards regenerative agriculture in ginger?,"For ginger, avoid continuous monoculture. Rotate with cereals/legumes to balance nutrients. Use residue incorporation and cover crops to build organic matter. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial wilt,crop_rotation,farming,ginger,india,sandy"
Water Conservation,garlic,bacterial soft rot,What is a good NPK plan for garlic to avoid lodging and disease?,"In garlic, avoid over-irrigation which leaches nutrients and promotes diseases. Use tensiometers or soil moisture sensors for precise scheduling. Maintain drainage to prevent waterlogging. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial soft rot,farming,garlic,india,laterite,water_conservation"
Micronutrients,coriander,downy mildew,How do I move towards regenerative agriculture in coriander?,"S deficiency in coriander leads to pale young leaves. Use SSP or gypsum to supply S (20–40 kg/ha). In high-rainfall areas, split S applications to reduce leaching. Keep records of inputs and yields each season to refine your plan.","agriculture,black,coriander,downy mildew,farming,india,micronutrients"
NPK Management,cumin,powdery mildew,Which irrigation method saves the most water for cumin without reducing yield?,"In cumin, high K improves water use efficiency and disease resistance. Apply K in splits; avoid late heavy K. Use SOP or MOP based on crop and soil Cl tolerance. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,cumin,farming,india,npk_management,powdery mildew"
IPM,rice,bacterial leaf blight,What are good intercropping options with rice to increase income?,"In rice, cultural practices (timely sowing, intercropping, crop rotation) reduce pest pressure. Preserve natural enemies by avoiding broad-spectrum sprays. Use spot treatments for outbreaks. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf blight,black,farming,india,ipm,rice"
Weed Management,wheat,karnal bunt,What is a good NPK plan for wheat to avoid lodging and disease?,"For wheat, timely weeding (first 30 days) is critical. Use mechanical weeding or recommended herbicides. Avoid late weeding that damages roots. Maintain crop geometry for canopy closure. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,india,karnal bunt,weed_management,wheat"
Protected Cultivation,maize,fusarium stalk rot,What weather conditions harm maize and how do I protect my crop?,"For maize, greenhouses enable year-round production. Use insect-proof nets, drip irrigation, and balanced fertigation. Train labor on climate management and IPM. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,fusarium stalk rot,india,maize,protected_cultivation"
Greenhouse,cotton,alternaria leaf spot,When and how should I harvest cotton to get maximum yield and quality?,"For cotton, greenhouses enable year-round production. Use insect-proof nets, drip irrigation, and balanced fertigation. Train labor on climate management and IPM. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,cotton,farming,greenhouse,india,sandy"
Hydroponics,sugarcane,smut,Which government schemes can I use for sugarcane cultivation and marketing?,"For sugarcane, greenhouses enable year-round production. Use insect-proof nets, drip irrigation, and balanced fertigation. Train labor on climate management and IPM. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,hydroponics,india,smut,sugarcane"
Carbon Farming,soybean,bacterial pustule,How do I store soybean grains safely to avoid pests and mold?,"In soybean, precision fertilizer use reduces N2O emissions. Use urease inhibitors and split N applications. Combine with renewable energy for irrigation. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial pustule,carbon_farming,farming,india,red,soybean"
Regenerative Agriculture,tomato,bacterial wilt,How does crop insurance work for tomato and how do I claim?,"Regenerative agriculture in tomato focuses on soil health, biodiversity, and water. Use cover crops, minimal tillage, and diverse rotations. Track outcomes with soil tests and yield records. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial wilt,farming,india,red,regenerative_agriculture,tomato"
GAP,potato,late blight,What carbon farming practices can I adopt in potato fields?,"For potato, GAP aligns with food safety and export requirements. Maintain field maps, input logs, and harvest records. Use clean containers and cold chain where needed. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,gap,india,late blight,potato"
Insurance,onion,stemphylium blight,How does crop insurance work for onion and how do I claim?,"In onion, combine insurance with savings and credit for resilience. Diversify crops and income sources. Seek advisory on risk reduction and insurance options. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,india,insurance,onion,stemphylium blight"
Fertilizer,chilli,anthracnose,How do I select and treat seeds for chilli to improve germination?,"In chilli, balanced NPK (e.g., 100:50:50) improves yield and resilience. Apply full P and K at sowing; split N in 2–3 doses. Foliar 19:19:19 (2–3 g/L) at flowering boosts fruit set. Add 4–5 t/ha compost + 20 kg/ha ZnSO4 in Zn-deficient black soils. Avoid late heavy N to reduce lodging and pest risk.","agriculture,anthracnose,chilli,clay,farming,fertilizer,india"
Disease,brinjal,mosaic,How do I select and treat seeds for brinjal to improve germination?,"Manage mosaic in brinjal by removing infected plants, improving drainage, and balanced nutrition. Use copper-based fungicides for bacterial diseases; avoid heavy N. Practice 2–3 year rotations and seed treatment to reduce primary inoculum. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,brinjal,disease,farming,india,mosaic"
Pest,cabbage,alternaria leaf spot,What weather conditions harm cabbage and how do I protect my crop?,"For cabbage, integrate mechanical (handpicking), biological (Trichogramma), and chemical controls. Avoid tank mixes that harm beneficials. Follow label doses and pre-harvest intervals. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,cabbage,farming,india,laterite,pest"
Irrigation,cauliflower,alternaria leaf spot,How do I store cauliflower grains safely to avoid pests and mold?,"In cauliflower, avoid water stress during pod/fruit development. Use deficit irrigation (70–80% ET) in vegetative stage, then full irrigation at flowering and fruit set. Drain fields within 24 hours after heavy rain to prevent root rot. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,cauliflower,farming,india,irrigation,laterite"
Weather,okra,powdery mildew,Which machines or implements are useful for okra to save labor and time?,"For okra, high humidity favors fungal diseases. Increase plant spacing, avoid overhead irrigation, and use protective fungicides before monsoon peaks. Use weather-based advisories for spray timing. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,india,okra,powdery mildew,weather"
Soil,groundnut,bud necrosis virus,How do I manage bud necrosis virus in groundnut? What are the symptoms and spray schedule?,"In groundnut, heavy clay soils need raised beds and proper drainage. Sandy soils benefit from mulching and frequent light irrigations. Loamy soils are ideal; maintain OC with crop residues and manures. Keep records of inputs and yields each season to refine your plan.","agriculture,bud necrosis virus,farming,groundnut,india,loamy,soil"
Government Scheme,mustard,downy mildew,What carbon farming practices can I adopt in mustard fields?,"For mustard, MSP announcements and procurement vary by state. Register on e-NAM for better market access. FPO membership can improve bargaining power. Explore agri-infrastructure funds for storage and processing. Keep records of inputs and yields each season to refine your plan.","agriculture,downy mildew,farming,government_scheme,india,laterite,mustard"
Harvesting,sunflower,head rot,How do I move towards regenerative agriculture in sunflower?,"In sunflower, timely harvest improves market price. Use mechanical threshers where possible. Dry to safe moisture, clean, and store in hermetic bags or silos to prevent pests and mold. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,harvesting,head rot,india,sunflower"
Marketing,bajra,blast,How do I move towards regenerative agriculture in bajra?,"Farmers growing bajra can benefit from PM-KISAN (₹6,000/year), Kisan Credit Card (subsidized interest), and Soil Health Card (free soil testing). Check with your local agriculture office or CSC for enrollment. Crop insurance under PMFBY is also available. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,bajra,blast,farming,india,marketing"
Organic Farming,jowar,grain mold,When and how should I harvest jowar to get maximum yield and quality?,"In jowar, organic systems need strong IPM: traps, biocontrol agents, and botanicals. Ensure adequate K and micronutrients from organic sources. Plan harvest and post-harvest to maintain organic integrity. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,grain mold,india,jowar,organic_farming,sandy"
Yield Improvement,ragi,bacterial leaf streak,"What are the signs of Zn, B, or S deficiency in ragi and how do I correct them?","In ragi, yield gaps arise from poor plant stand, nutrient imbalance, and pest damage. Use soil test-based fertilizers, IPM, and timely irrigation. Record field operations for continuous improvement. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf streak,black,farming,india,ragi,yield_improvement"
Seed Selection,gram,alternaria blight,Which government schemes can I use for gram cultivation and marketing?,"For gram, select seeds from healthy plants, free from disease. Maintain seed purity and avoid mixing varieties. Use seed replacement every 2–3 years for best results. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria blight,clay,farming,gram,india,seed_selection"
Storage,pigeon pea,pod borer damage,How do I store pigeon pea grains safely to avoid pests and mold?,"In pigeon pea, high moisture leads to mold and mycotoxins. Dry to safe levels, use moisture-proof liners, and keep bags off the floor on pallets. Inspect regularly for pests and dampness. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,farming,india,pigeon pea,pod borer damage,storage"
Post-Harvest,green gram,alternaria leaf spot,"What are the signs of Zn, B, or S deficiency in green gram and how do I correct them?","In green gram, high moisture leads to mold and mycotoxins. Dry to safe levels, use moisture-proof liners, and keep bags off the floor on pallets. Inspect regularly for pests and dampness. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,farming,green gram,india,loamy,post-harvest"
Mechanization,black gram,yellow mosaic virus,What are effective weed control methods for black gram that are safe and cheap?,"In black gram, use power tillers or tractors with appropriate implements. Adopt zero-till where feasible to save time and fuel. Train operators on safe handling and maintenance. Keep records of inputs and yields each season to refine your plan.","agriculture,black gram,farming,india,laterite,mechanization,yellow mosaic virus"
Intercropping,banana,bacterial wilt,How does crop insurance work for banana and how do I claim?,"In banana, intercropping breaks pest cycles and improves biodiversity. Select crops with different canopy heights and root depths. Monitor for pest shifts and adjust management. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial wilt,banana,farming,india,intercropping,sandy"
Crop Rotation,mango,bacterial canker,How do I implement IPM in mango step by step?,"In mango, rotation reduces soil-borne diseases and weeds. Select crops with different nutrient demands. Maintain field records to plan rotations effectively. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial canker,clay,crop_rotation,farming,india,mango"
Water Conservation,papaya,stem canker,How should I plan crop rotation with papaya to improve soil health?,"For papaya, use alternate wetting and drying (AWD) where feasible. Recycle field drainage and harvest rainwater in ponds. Maintain field bunds and channels. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,papaya,red,stem canker,water_conservation"
Micronutrients,grapes,botrytis bunch rot,How do I store grapes grains safely to avoid pests and mold?,"Zn deficiency in grapes shows as interveinal chlorosis and stunting. Apply ZnSO4 (20–25 kg/ha) basally or foliar 0.5% ZnSO4 + 0.25% lime. In alkaline soils, band Zn near roots for better uptake. Keep records of inputs and yields each season to refine your plan.","agriculture,botrytis bunch rot,farming,grapes,india,micronutrients,sandy"
IPM,citrus,anthracnose,How do I implement IPM in citrus step by step?,"In citrus, cultural practices (timely sowing, intercropping, crop rotation) reduce pest pressure. Preserve natural enemies by avoiding broad-spectrum sprays. Use spot treatments for outbreaks. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,citrus,clay,farming,india,ipm"
Weed Management,turmeric,leaf blotch,What GAP should I follow for turmeric to meet market and export standards?,"For turmeric, timely weeding (first 30 days) is critical. Use mechanical weeding or recommended herbicides. Avoid late weeding that damages roots. Maintain crop geometry for canopy closure. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,india,leaf blotch,turmeric,weed_management"
Protected Cultivation,ginger,leaf spot,What is the best fertilizer dose and schedule for ginger in clay soil?,"For ginger, greenhouses enable year-round production. Use insect-proof nets, drip irrigation, and balanced fertigation. Train labor on climate management and IPM. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,farming,ginger,india,leaf spot,protected_cultivation"
Greenhouse,garlic,rust,"How can I control thrips, onion maggot, aphids in garlic using IPM and reduce chemical sprays?","In garlic, protected cultivation reduces pesticide use. Combine with biological controls and hygiene. Plan crop cycles to match market demand. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,garlic,greenhouse,india,laterite,rust"
Hydroponics,coriander,downy mildew,"What are the signs of Zn, B, or S deficiency in coriander and how do I correct them?","For coriander, polyhouses improve yield and quality. Install fans and foggers for climate control. Use reflective mulch and trellising for better light distribution. Keep records of inputs and yields each season to refine your plan.","agriculture,coriander,downy mildew,farming,hydroponics,india,sandy"
Carbon Farming,cumin,downy mildew,What are good intercropping options with cumin to increase income?,"In cumin, precision fertilizer use reduces N2O emissions. Use urease inhibitors and split N applications. Combine with renewable energy for irrigation. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,carbon_farming,cumin,downy mildew,farming,india"
Regenerative Agriculture,rice,blast,"What soil type and pH are ideal for rice, and how do I improve my soil?","For rice, integrate trees, shrubs, and perennials to enhance resilience. Use organic amendments and biological pest control. Build local knowledge and community practices. Keep records of inputs and yields each season to refine your plan.","agriculture,blast,farming,india,laterite,regenerative_agriculture,rice"
GAP,wheat,rust,Which government schemes can I use for wheat cultivation and marketing?,"For wheat, GAP aligns with food safety and export requirements. Maintain field maps, input logs, and harvest records. Use clean containers and cold chain where needed. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,gap,india,red,rust,wheat"
Insurance,maize,stem borer damage,What GAP should I follow for maize to meet market and export standards?,"In maize, weather-based insurance can provide quick payouts. Link with local meteorological data. Use insurance as part of risk management, not a substitute for good practices. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,insurance,laterite,maize,stem borer damage"
Fertilizer,cotton,pink bollworm damage,What is a good NPK plan for cotton to avoid lodging and disease?,"In cotton, apply 80–120 kg N/ha, 40–60 kg P2O5/ha, 40 kg K2O/ha. Use basal NPK (15:15:15) at 150–200 kg/ha, then top-dress urea twice. Add ZnSO4 (20–25 kg/ha) once in 2–3 years. Include 5–10 t/ha FYM before sowing. In saline soils, prefer gypsum and avoid chloride fertilizers.","agriculture,alluvial,cotton,farming,fertilizer,india,pink bollworm damage"
Disease,sugarcane,ring spot,Which government schemes can I use for sugarcane cultivation and marketing?,"For ring spot in sugarcane, early detection is key. Symptoms include circular chlorotic spots on leaves. Spray recommended fungicides (e.g., propiconazole, tebuconazole) at label doses. Practice field sanitation, avoid water stagnation, and maintain plant spacing for airflow. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,disease,farming,india,ring spot,sugarcane"
