Disease_ID,Crop,Disease_Name,Disease_Type,Causal_Organism,Symptoms,Treatment,Organic_Control,Chemical_Control,Prevention,Favorable_Conditions,Severity,Yield_Loss_Percentage,Recommended_Fertilizer,Keywords
DIS0402,Potato,Common Scab,Bacterial,Various,Fruit rot,Use certified seeds,Trichoderma application,Metalaxyl,Field sanitation,Cool weather,Medium,13,Balanced NPK,"Potato,Common Scab"
DIS0403,Potato,Common Scab,Bacterial,Various,Wilting,Avoid overhead irrigation,Compost tea,Mancozeb,Proper spacing,Cool weather,High,31,Balanced NPK,"Potato,Common Scab"
DIS0404,Potato,Common Scab,Bacterial,Various,Fruit rot,Use certified seeds,Compost tea,Copper Oxychloride,Crop rotation,High humidity,Medium,55,Balanced NPK,"Potato,Common Scab"
DIS0405,Potato,Common Scab,Bacterial,Various,Brown spots on leaves,Remove infected leaves,Compost tea,Chlorothalonil,Balanced fertilization,Cool weather,Low,14,Balanced NPK,"Potato,Common Scab"
DIS0406,Potato,Common Scab,Bacterial,Various,Leaf curling,Improve drainage,Garlic extract spray,Mancozeb,Disease-free seeds,Cool weather,Medium,27,Balanced NPK,"Potato,Common Scab"
DIS0407,Potato,Common Scab,Bacterial,Various,Leaf drying,Apply recommended fungicide,Compost tea,Metalaxyl,Crop rotation,Heavy rainfall,Medium,11,Balanced NPK,"Potato,Common Scab"
DIS0408,Potato,Common Scab,Bacterial,Various,Fruit rot,Apply copper-based fungicide,Compost tea,Copper Oxychloride,Crop rotation,High humidity,Medium,57,Balanced NPK,"Potato,Common Scab"
DIS0409,Potato,Common Scab,Bacterial,Various,Fruit rot,Apply copper-based fungicide,Neem oil spray,Copper Oxychloride,Disease-free seeds,Cool weather,High,5,Balanced NPK,"Potato,Common Scab"
DIS0410,Potato,Common Scab,Bacterial,Various,White fungal growth,Apply copper-based fungicide,Compost tea,Metalaxyl,Disease-free seeds,Poor air circulation,High,12,Balanced NPK,"Potato,Common Scab"
DIS0411,Potato,Common Scab,Bacterial,Various,White fungal growth,Use certified seeds,Neem oil spray,Mancozeb,Crop rotation,Heavy rainfall,Low,58,Balanced NPK,"Potato,Common Scab"
DIS0412,Potato,Common Scab,Bacterial,Various,Fruit rot,Use certified seeds,Compost tea,Copper Oxychloride,Disease-free seeds,Cool weather,High,56,Balanced NPK,"Potato,Common Scab"
DIS0413,Potato,Common Scab,Bacterial,Various,Stem lesions,Use certified seeds,Garlic extract spray,Chlorothalonil,Crop rotation,Cool weather,Low,51,Balanced NPK,"Potato,Common Scab"
DIS0414,Potato,Common Scab,Bacterial,Various,Leaf drying,Use certified seeds,Compost tea,Carbendazim,Proper spacing,Heavy rainfall,High,6,Balanced NPK,"Potato,Common Scab"
DIS0415,Potato,Common Scab,Bacterial,Various,Stem lesions,Use certified seeds,Garlic extract spray,Mancozeb,Balanced fertilization,High humidity,Low,30,Balanced NPK,"Potato,Common Scab"
DIS0416,Potato,Common Scab,Bacterial,Various,Yellowing of leaves,Avoid overhead irrigation,Neem oil spray,Mancozeb,Field sanitation,Poor air circulation,Medium,44,Balanced NPK,"Potato,Common Scab"
DIS0417,Potato,Common Scab,Bacterial,Various,Wilting,Remove infected leaves,Trichoderma application,Carbendazim,Balanced fertilization,High humidity,Medium,56,Balanced NPK,"Potato,Common Scab"
DIS0418,Potato,Common Scab,Bacterial,Various,Wilting,Apply recommended fungicide,Garlic extract spray,Chlorothalonil,Field sanitation,High humidity,High,36,Balanced NPK,"Potato,Common Scab"
DIS0419,Potato,Common Scab,Bacterial,Various,Fruit rot,Remove infected leaves,Neem oil spray,Metalaxyl,Proper spacing,Heavy rainfall,Medium,34,Balanced NPK,"Potato,Common Scab"
DIS0420,Potato,Common Scab,Bacterial,Various,Fruit rot,Apply copper-based fungicide,Neem oil spray,Copper Oxychloride,Disease-free seeds,High humidity,Medium,15,Balanced NPK,"Potato,Common Scab"
DIS0421,Potato,Common Scab,Bacterial,Various,Leaf curling,Apply copper-based fungicide,Compost tea,Mancozeb,Proper spacing,Cool weather,High,43,Balanced NPK,"Potato,Common Scab"
DIS0422,Potato,Common Scab,Bacterial,Various,Stem lesions,Use certified seeds,Trichoderma application,Carbendazim,Field sanitation,High humidity,Low,13,Balanced NPK,"Potato,Common Scab"
DIS0423,Potato,Common Scab,Bacterial,Various,Brown spots on leaves,Apply copper-based fungicide,Garlic extract spray,Copper Oxychloride,Field sanitation,Heavy rainfall,High,49,Balanced NPK,"Potato,Common Scab"
DIS0424,Potato,Common Scab,Bacterial,Various,White fungal growth,Apply copper-based fungicide,Garlic extract spray,Metalaxyl,Proper spacing,Poor air circulation,Low,8,Balanced NPK,"Potato,Common Scab"
DIS0425,Potato,Common Scab,Bacterial,Various,White fungal growth,Use certified seeds,Trichoderma application,Metalaxyl,Proper spacing,Poor air circulation,Medium,23,Balanced NPK,"Potato,Common Scab"
DIS0426,Potato,Common Scab,Bacterial,Various,Brown spots on leaves,Use certified seeds,Compost tea,Mancozeb,Balanced fertilization,High humidity,Medium,32,Balanced NPK,"Potato,Common Scab"
DIS0427,Potato,Common Scab,Bacterial,Various,White fungal growth,Use certified seeds,Garlic extract spray,Mancozeb,Field sanitation,Heavy rainfall,High,10,Balanced NPK,"Potato,Common Scab"
DIS0428,Potato,Common Scab,Bacterial,Various,Yellowing of leaves,Improve drainage,Neem oil spray,Copper Oxychloride,Disease-free seeds,Cool weather,High,25,Balanced NPK,"Potato,Common Scab"
DIS0429,Potato,Common Scab,Bacterial,Various,Leaf drying,Avoid overhead irrigation,Compost tea,Mancozeb,Balanced fertilization,Poor air circulation,High,14,Balanced NPK,"Potato,Common Scab"
DIS0430,Potato,Common Scab,Bacterial,Various,White fungal growth,Remove infected leaves,Trichoderma application,Mancozeb,Proper spacing,Cool weather,Medium,36,Balanced NPK,"Potato,Common Scab"
DIS0431,Potato,Common Scab,Bacterial,Various,White fungal growth,Use certified seeds,Neem oil spray,Mancozeb,Proper spacing,Cool weather,High,54,Balanced NPK,"Potato,Common Scab"
DIS0432,Potato,Common Scab,Bacterial,Various,Yellowing of leaves,Apply recommended fungicide,Neem oil spray,Mancozeb,Field sanitation,Poor air circulation,Medium,54,Balanced NPK,"Potato,Common Scab"
DIS0433,Potato,Common Scab,Bacterial,Various,Fruit rot,Apply copper-based fungicide,Garlic extract spray,Mancozeb,Balanced fertilization,Cool weather,Low,48,Balanced NPK,"Potato,Common Scab"
DIS0434,Potato,Common Scab,Bacterial,Various,Stem lesions,Use certified seeds,Garlic extract spray,Chlorothalonil,Disease-free seeds,Heavy rainfall,Medium,12,Balanced NPK,"Potato,Common Scab"
DIS0435,Potato,Common Scab,Bacterial,Various,Wilting,Use certified seeds,Trichoderma application,Metalaxyl,Field sanitation,High humidity,Medium,53,Balanced NPK,"Potato,Common Scab"
DIS0436,Potato,Common Scab,Bacterial,Various,Fruit rot,Remove infected leaves,Compost tea,Copper Oxychloride,Disease-free seeds,Heavy rainfall,Medium,37,Balanced NPK,"Potato,Common Scab"
DIS0437,Potato,Common Scab,Bacterial,Various,Fruit rot,Remove infected leaves,Garlic extract spray,Copper Oxychloride,Crop rotation,Cool weather,High,31,Balanced NPK,"Potato,Common Scab"
DIS0438,Potato,Common Scab,Bacterial,Various,Brown spots on leaves,Avoid overhead irrigation,Neem oil spray,Carbendazim,Balanced fertilization,Cool weather,High,44,Balanced NPK,"Potato,Common Scab"
DIS0439,Potato,Common Scab,Bacterial,Various,Fruit rot,Use certified seeds,Compost tea,Mancozeb,Crop rotation,Poor air circulation,Low,58,Balanced NPK,"Potato,Common Scab"
DIS0440,Potato,Common Scab,Bacterial,Various,Wilting,Remove infected leaves,Neem oil spray,Chlorothalonil,Disease-free seeds,High humidity,High,32,Balanced NPK,"Potato,Common Scab"
DIS0441,Potato,Black Scurf,Fungal,Various,White fungal growth,Improve drainage,Neem oil spray,Mancozeb,Disease-free seeds,Poor air circulation,Low,12,Balanced NPK,"Potato,Black Scurf"
DIS0442,Potato,Black Scurf,Fungal,Various,Yellowing of leaves,Apply copper-based fungicide,Garlic extract spray,Metalaxyl,Balanced fertilization,Heavy rainfall,High,51,Balanced NPK,"Potato,Black Scurf"
DIS0443,Potato,Black Scurf,Fungal,Various,Stem lesions,Avoid overhead irrigation,Neem oil spray,Mancozeb,Field sanitation,Heavy rainfall,Low,44,Balanced NPK,"Potato,Black Scurf"
DIS0444,Potato,Black Scurf,Fungal,Various,Leaf drying,Remove infected leaves,Garlic extract spray,Copper Oxychloride,Crop rotation,High humidity,Low,55,Balanced NPK,"Potato,Black Scurf"
DIS0445,Potato,Black Scurf,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Garlic extract spray,Carbendazim,Proper spacing,High humidity,Low,51,Balanced NPK,"Potato,Black Scurf"
DIS0446,Potato,Black Scurf,Fungal,Various,Leaf curling,Use certified seeds,Neem oil spray,Chlorothalonil,Balanced fertilization,Poor air circulation,Low,10,Balanced NPK,"Potato,Black Scurf"
DIS0447,Potato,Black Scurf,Fungal,Various,Leaf curling,Use certified seeds,Neem oil spray,Carbendazim,Proper spacing,Cool weather,Low,16,Balanced NPK,"Potato,Black Scurf"
DIS0448,Potato,Black Scurf,Fungal,Various,Brown spots on leaves,Apply recommended fungicide,Trichoderma application,Mancozeb,Field sanitation,Heavy rainfall,Medium,59,Balanced NPK,"Potato,Black Scurf"
DIS0449,Potato,Black Scurf,Fungal,Various,Stem lesions,Apply copper-based fungicide,Neem oil spray,Chlorothalonil,Field sanitation,Heavy rainfall,Low,17,Balanced NPK,"Potato,Black Scurf"
DIS0450,Potato,Black Scurf,Fungal,Various,Yellowing of leaves,Improve drainage,Compost tea,Metalaxyl,Balanced fertilization,Poor air circulation,Low,52,Balanced NPK,"Potato,Black Scurf"
DIS0451,Potato,Black Scurf,Fungal,Various,Wilting,Use certified seeds,Compost tea,Metalaxyl,Balanced fertilization,Cool weather,Medium,56,Balanced NPK,"Potato,Black Scurf"
DIS0452,Potato,Black Scurf,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Compost tea,Chlorothalonil,Crop rotation,Poor air circulation,Medium,32,Balanced NPK,"Potato,Black Scurf"
DIS0453,Potato,Black Scurf,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Neem oil spray,Carbendazim,Disease-free seeds,Heavy rainfall,Low,50,Balanced NPK,"Potato,Black Scurf"
DIS0454,Potato,Black Scurf,Fungal,Various,Brown spots on leaves,Use certified seeds,Trichoderma application,Chlorothalonil,Crop rotation,Poor air circulation,Low,49,Balanced NPK,"Potato,Black Scurf"
DIS0455,Potato,Black Scurf,Fungal,Various,Wilting,Improve drainage,Garlic extract spray,Metalaxyl,Disease-free seeds,Poor air circulation,High,43,Balanced NPK,"Potato,Black Scurf"
DIS0456,Potato,Black Scurf,Fungal,Various,Fruit rot,Apply recommended fungicide,Garlic extract spray,Carbendazim,Field sanitation,High humidity,Low,60,Balanced NPK,"Potato,Black Scurf"
DIS0457,Potato,Black Scurf,Fungal,Various,White fungal growth,Avoid overhead irrigation,Compost tea,Carbendazim,Crop rotation,Heavy rainfall,High,35,Balanced NPK,"Potato,Black Scurf"
DIS0458,Potato,Black Scurf,Fungal,Various,Fruit rot,Use certified seeds,Trichoderma application,Chlorothalonil,Field sanitation,Heavy rainfall,Low,17,Balanced NPK,"Potato,Black Scurf"
DIS0459,Potato,Black Scurf,Fungal,Various,Leaf curling,Use certified seeds,Neem oil spray,Chlorothalonil,Proper spacing,Cool weather,Medium,50,Balanced NPK,"Potato,Black Scurf"
DIS0460,Potato,Black Scurf,Fungal,Various,White fungal growth,Use certified seeds,Trichoderma application,Metalaxyl,Balanced fertilization,Heavy rainfall,Medium,30,Balanced NPK,"Potato,Black Scurf"
DIS0461,Potato,Black Scurf,Fungal,Various,Leaf drying,Apply recommended fungicide,Trichoderma application,Copper Oxychloride,Crop rotation,Heavy rainfall,Low,24,Balanced NPK,"Potato,Black Scurf"
DIS0462,Potato,Black Scurf,Fungal,Various,Leaf curling,Apply recommended fungicide,Trichoderma application,Mancozeb,Field sanitation,Cool weather,Medium,21,Balanced NPK,"Potato,Black Scurf"
DIS0463,Potato,Black Scurf,Fungal,Various,Stem lesions,Improve drainage,Neem oil spray,Mancozeb,Balanced fertilization,Poor air circulation,Low,25,Balanced NPK,"Potato,Black Scurf"
DIS0464,Potato,Black Scurf,Fungal,Various,White fungal growth,Improve drainage,Trichoderma application,Carbendazim,Balanced fertilization,Poor air circulation,Medium,30,Balanced NPK,"Potato,Black Scurf"
DIS0465,Potato,Black Scurf,Fungal,Various,Leaf curling,Use certified seeds,Neem oil spray,Chlorothalonil,Proper spacing,High humidity,Medium,33,Balanced NPK,"Potato,Black Scurf"
DIS0466,Potato,Black Scurf,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Garlic extract spray,Chlorothalonil,Disease-free seeds,High humidity,Medium,16,Balanced NPK,"Potato,Black Scurf"
DIS0467,Potato,Black Scurf,Fungal,Various,Yellowing of leaves,Use certified seeds,Compost tea,Carbendazim,Disease-free seeds,Poor air circulation,High,5,Balanced NPK,"Potato,Black Scurf"
DIS0468,Potato,Black Scurf,Fungal,Various,Fruit rot,Avoid overhead irrigation,Trichoderma application,Chlorothalonil,Disease-free seeds,Poor air circulation,Low,15,Balanced NPK,"Potato,Black Scurf"
DIS0469,Potato,Black Scurf,Fungal,Various,Yellowing of leaves,Use certified seeds,Compost tea,Carbendazim,Balanced fertilization,Heavy rainfall,Low,10,Balanced NPK,"Potato,Black Scurf"
DIS0470,Potato,Black Scurf,Fungal,Various,Brown spots on leaves,Avoid overhead irrigation,Trichoderma application,Chlorothalonil,Proper spacing,Cool weather,Medium,40,Balanced NPK,"Potato,Black Scurf"
DIS0471,Potato,Black Scurf,Fungal,Various,Stem lesions,Apply recommended fungicide,Garlic extract spray,Chlorothalonil,Crop rotation,Heavy rainfall,High,14,Balanced NPK,"Potato,Black Scurf"
DIS0472,Potato,Black Scurf,Fungal,Various,Brown spots on leaves,Apply copper-based fungicide,Trichoderma application,Carbendazim,Disease-free seeds,Heavy rainfall,Medium,49,Balanced NPK,"Potato,Black Scurf"
DIS0473,Potato,Black Scurf,Fungal,Various,Stem lesions,Apply recommended fungicide,Compost tea,Mancozeb,Proper spacing,Poor air circulation,High,52,Balanced NPK,"Potato,Black Scurf"
DIS0474,Potato,Black Scurf,Fungal,Various,White fungal growth,Improve drainage,Neem oil spray,Mancozeb,Crop rotation,High humidity,Low,8,Balanced NPK,"Potato,Black Scurf"
DIS0475,Potato,Black Scurf,Fungal,Various,Leaf curling,Apply recommended fungicide,Trichoderma application,Copper Oxychloride,Balanced fertilization,Poor air circulation,High,37,Balanced NPK,"Potato,Black Scurf"
DIS0476,Potato,Black Scurf,Fungal,Various,Leaf drying,Improve drainage,Compost tea,Carbendazim,Field sanitation,High humidity,Medium,22,Balanced NPK,"Potato,Black Scurf"
DIS0477,Potato,Black Scurf,Fungal,Various,Fruit rot,Use certified seeds,Trichoderma application,Carbendazim,Balanced fertilization,Cool weather,Low,54,Balanced NPK,"Potato,Black Scurf"
DIS0478,Potato,Black Scurf,Fungal,Various,Yellowing of leaves,Use certified seeds,Trichoderma application,Chlorothalonil,Proper spacing,High humidity,Medium,16,Balanced NPK,"Potato,Black Scurf"
DIS0479,Potato,Black Scurf,Fungal,Various,Brown spots on leaves,Use certified seeds,Trichoderma application,Copper Oxychloride,Crop rotation,Poor air circulation,Medium,37,Balanced NPK,"Potato,Black Scurf"
DIS0480,Potato,Black Scurf,Fungal,Various,White fungal growth,Apply copper-based fungicide,Neem oil spray,Metalaxyl,Crop rotation,Cool weather,Low,5,Balanced NPK,"Potato,Black Scurf"
DIS0481,Rice,Blast,Fungal,Various,Stem lesions,Apply recommended fungicide,Trichoderma application,Copper Oxychloride,Disease-free seeds,Poor air circulation,High,28,Balanced NPK,"Rice,Blast"
DIS0482,Rice,Blast,Fungal,Various,Yellowing of leaves,Remove infected leaves,Garlic extract spray,Mancozeb,Crop rotation,Cool weather,High,60,Balanced NPK,"Rice,Blast"
DIS0483,Rice,Blast,Fungal,Various,Leaf drying,Avoid overhead irrigation,Garlic extract spray,Chlorothalonil,Balanced fertilization,High humidity,Medium,57,Balanced NPK,"Rice,Blast"
DIS0484,Rice,Blast,Fungal,Various,White fungal growth,Apply recommended fungicide,Garlic extract spray,Carbendazim,Balanced fertilization,High humidity,Low,38,Balanced NPK,"Rice,Blast"
DIS0485,Rice,Blast,Fungal,Various,Brown spots on leaves,Improve drainage,Garlic extract spray,Carbendazim,Crop rotation,Poor air circulation,High,31,Balanced NPK,"Rice,Blast"
DIS0486,Rice,Blast,Fungal,Various,White fungal growth,Apply recommended fungicide,Compost tea,Carbendazim,Balanced fertilization,High humidity,High,41,Balanced NPK,"Rice,Blast"
DIS0487,Rice,Blast,Fungal,Various,Leaf drying,Apply recommended fungicide,Neem oil spray,Mancozeb,Disease-free seeds,Poor air circulation,High,33,Balanced NPK,"Rice,Blast"
DIS0488,Rice,Blast,Fungal,Various,Wilting,Improve drainage,Compost tea,Chlorothalonil,Field sanitation,High humidity,High,8,Balanced NPK,"Rice,Blast"
DIS0489,Rice,Blast,Fungal,Various,Leaf curling,Remove infected leaves,Compost tea,Carbendazim,Field sanitation,Cool weather,Medium,36,Balanced NPK,"Rice,Blast"
DIS0490,Rice,Blast,Fungal,Various,Leaf curling,Avoid overhead irrigation,Compost tea,Copper Oxychloride,Balanced fertilization,Cool weather,High,20,Balanced NPK,"Rice,Blast"
DIS0491,Rice,Blast,Fungal,Various,White fungal growth,Apply recommended fungicide,Trichoderma application,Copper Oxychloride,Disease-free seeds,Heavy rainfall,High,5,Balanced NPK,"Rice,Blast"
DIS0492,Rice,Blast,Fungal,Various,White fungal growth,Apply recommended fungicide,Trichoderma application,Chlorothalonil,Crop rotation,High humidity,High,32,Balanced NPK,"Rice,Blast"
DIS0493,Rice,Blast,Fungal,Various,Leaf curling,Use certified seeds,Trichoderma application,Chlorothalonil,Proper spacing,High humidity,High,15,Balanced NPK,"Rice,Blast"
DIS0494,Rice,Blast,Fungal,Various,Leaf curling,Avoid overhead irrigation,Neem oil spray,Metalaxyl,Proper spacing,Heavy rainfall,Medium,58,Balanced NPK,"Rice,Blast"
DIS0495,Rice,Blast,Fungal,Various,Yellowing of leaves,Remove infected leaves,Garlic extract spray,Copper Oxychloride,Balanced fertilization,Cool weather,High,60,Balanced NPK,"Rice,Blast"
DIS0496,Rice,Blast,Fungal,Various,Stem lesions,Use certified seeds,Neem oil spray,Metalaxyl,Proper spacing,Heavy rainfall,Medium,59,Balanced NPK,"Rice,Blast"
DIS0497,Rice,Blast,Fungal,Various,Leaf drying,Remove infected leaves,Neem oil spray,Carbendazim,Crop rotation,Heavy rainfall,Medium,50,Balanced NPK,"Rice,Blast"
DIS0498,Rice,Blast,Fungal,Various,Leaf drying,Improve drainage,Garlic extract spray,Chlorothalonil,Balanced fertilization,High humidity,Low,15,Balanced NPK,"Rice,Blast"
DIS0499,Rice,Blast,Fungal,Various,White fungal growth,Apply recommended fungicide,Garlic extract spray,Copper Oxychloride,Balanced fertilization,Heavy rainfall,Medium,48,Balanced NPK,"Rice,Blast"
DIS0500,Rice,Blast,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Compost tea,Copper Oxychloride,Crop rotation,Poor air circulation,High,46,Balanced NPK,"Rice,Blast"
DIS0501,Rice,Blast,Fungal,Various,Wilting,Apply copper-based fungicide,Neem oil spray,Copper Oxychloride,Crop rotation,High humidity,Medium,19,Balanced NPK,"Rice,Blast"
DIS0502,Rice,Blast,Fungal,Various,White fungal growth,Remove infected leaves,Trichoderma application,Copper Oxychloride,Balanced fertilization,Poor air circulation,Medium,16,Balanced NPK,"Rice,Blast"
DIS0503,Rice,Blast,Fungal,Various,Stem lesions,Use certified seeds,Garlic extract spray,Metalaxyl,Proper spacing,Cool weather,High,55,Balanced NPK,"Rice,Blast"
DIS0504,Rice,Blast,Fungal,Various,Stem lesions,Apply recommended fungicide,Neem oil spray,Metalaxyl,Proper spacing,High humidity,High,51,Balanced NPK,"Rice,Blast"
DIS0505,Rice,Blast,Fungal,Various,Fruit rot,Remove infected leaves,Garlic extract spray,Metalaxyl,Disease-free seeds,Poor air circulation,High,17,Balanced NPK,"Rice,Blast"
DIS0506,Rice,Blast,Fungal,Various,Brown spots on leaves,Apply copper-based fungicide,Garlic extract spray,Mancozeb,Proper spacing,High humidity,Medium,11,Balanced NPK,"Rice,Blast"
DIS0507,Rice,Blast,Fungal,Various,Fruit rot,Apply recommended fungicide,Trichoderma application,Carbendazim,Crop rotation,High humidity,Low,24,Balanced NPK,"Rice,Blast"
DIS0508,Rice,Blast,Fungal,Various,Brown spots on leaves,Use certified seeds,Garlic extract spray,Chlorothalonil,Crop rotation,Cool weather,High,53,Balanced NPK,"Rice,Blast"
DIS0509,Rice,Blast,Fungal,Various,Fruit rot,Apply recommended fungicide,Trichoderma application,Carbendazim,Crop rotation,Cool weather,High,43,Balanced NPK,"Rice,Blast"
DIS0510,Rice,Blast,Fungal,Various,Leaf drying,Use certified seeds,Trichoderma application,Metalaxyl,Proper spacing,Poor air circulation,Low,56,Balanced NPK,"Rice,Blast"
DIS0511,Rice,Blast,Fungal,Various,Wilting,Use certified seeds,Trichoderma application,Chlorothalonil,Proper spacing,Cool weather,High,12,Balanced NPK,"Rice,Blast"
DIS0512,Rice,Blast,Fungal,Various,Yellowing of leaves,Improve drainage,Garlic extract spray,Metalaxyl,Crop rotation,High humidity,High,9,Balanced NPK,"Rice,Blast"
DIS0513,Rice,Blast,Fungal,Various,Leaf drying,Apply recommended fungicide,Neem oil spray,Copper Oxychloride,Crop rotation,Poor air circulation,Medium,40,Balanced NPK,"Rice,Blast"
DIS0514,Rice,Blast,Fungal,Various,Leaf curling,Apply copper-based fungicide,Compost tea,Metalaxyl,Crop rotation,Cool weather,Low,8,Balanced NPK,"Rice,Blast"
DIS0515,Rice,Blast,Fungal,Various,Wilting,Improve drainage,Garlic extract spray,Carbendazim,Balanced fertilization,Heavy rainfall,Low,24,Balanced NPK,"Rice,Blast"
DIS0516,Rice,Blast,Fungal,Various,Yellowing of leaves,Remove infected leaves,Trichoderma application,Mancozeb,Proper spacing,Heavy rainfall,Medium,6,Balanced NPK,"Rice,Blast"
DIS0517,Rice,Blast,Fungal,Various,Brown spots on leaves,Avoid overhead irrigation,Trichoderma application,Carbendazim,Proper spacing,High humidity,High,47,Balanced NPK,"Rice,Blast"
DIS0518,Rice,Blast,Fungal,Various,White fungal growth,Improve drainage,Garlic extract spray,Copper Oxychloride,Field sanitation,Poor air circulation,Low,19,Balanced NPK,"Rice,Blast"
DIS0519,Rice,Blast,Fungal,Various,Brown spots on leaves,Improve drainage,Trichoderma application,Metalaxyl,Crop rotation,Heavy rainfall,Medium,27,Balanced NPK,"Rice,Blast"
DIS0520,Rice,Blast,Fungal,Various,Yellowing of leaves,Apply copper-based fungicide,Garlic extract spray,Copper Oxychloride,Field sanitation,Heavy rainfall,Low,33,Balanced NPK,"Rice,Blast"
DIS0521,Rice,Brown Spot,Fungal,Various,Yellowing of leaves,Remove infected leaves,Trichoderma application,Mancozeb,Disease-free seeds,Cool weather,Low,46,Balanced NPK,"Rice,Brown Spot"
DIS0522,Rice,Brown Spot,Fungal,Various,Leaf curling,Apply copper-based fungicide,Neem oil spray,Copper Oxychloride,Crop rotation,High humidity,Medium,14,Balanced NPK,"Rice,Brown Spot"
DIS0523,Rice,Brown Spot,Fungal,Various,Brown spots on leaves,Avoid overhead irrigation,Trichoderma application,Carbendazim,Proper spacing,Cool weather,High,50,Balanced NPK,"Rice,Brown Spot"
DIS0524,Rice,Brown Spot,Fungal,Various,Brown spots on leaves,Improve drainage,Garlic extract spray,Carbendazim,Proper spacing,High humidity,Medium,40,Balanced NPK,"Rice,Brown Spot"
DIS0525,Rice,Brown Spot,Fungal,Various,White fungal growth,Remove infected leaves,Neem oil spray,Carbendazim,Balanced fertilization,Heavy rainfall,Low,55,Balanced NPK,"Rice,Brown Spot"
DIS0526,Rice,Brown Spot,Fungal,Various,Leaf drying,Avoid overhead irrigation,Trichoderma application,Mancozeb,Proper spacing,Heavy rainfall,Medium,12,Balanced NPK,"Rice,Brown Spot"
DIS0527,Rice,Brown Spot,Fungal,Various,Fruit rot,Apply copper-based fungicide,Neem oil spray,Chlorothalonil,Crop rotation,Poor air circulation,High,49,Balanced NPK,"Rice,Brown Spot"
DIS0528,Rice,Brown Spot,Fungal,Various,Fruit rot,Remove infected leaves,Trichoderma application,Mancozeb,Crop rotation,Cool weather,Low,52,Balanced NPK,"Rice,Brown Spot"
DIS0529,Rice,Brown Spot,Fungal,Various,Fruit rot,Apply recommended fungicide,Trichoderma application,Mancozeb,Balanced fertilization,Poor air circulation,Medium,35,Balanced NPK,"Rice,Brown Spot"
DIS0530,Rice,Brown Spot,Fungal,Various,Fruit rot,Remove infected leaves,Neem oil spray,Carbendazim,Proper spacing,Heavy rainfall,Medium,31,Balanced NPK,"Rice,Brown Spot"
DIS0531,Rice,Brown Spot,Fungal,Various,Leaf drying,Use certified seeds,Compost tea,Mancozeb,Crop rotation,High humidity,High,14,Balanced NPK,"Rice,Brown Spot"
DIS0532,Rice,Brown Spot,Fungal,Various,Wilting,Apply recommended fungicide,Trichoderma application,Mancozeb,Proper spacing,High humidity,Low,45,Balanced NPK,"Rice,Brown Spot"
DIS0533,Rice,Brown Spot,Fungal,Various,Yellowing of leaves,Use certified seeds,Compost tea,Copper Oxychloride,Field sanitation,Poor air circulation,High,59,Balanced NPK,"Rice,Brown Spot"
DIS0534,Rice,Brown Spot,Fungal,Various,Leaf drying,Improve drainage,Compost tea,Copper Oxychloride,Crop rotation,Cool weather,Low,42,Balanced NPK,"Rice,Brown Spot"
DIS0535,Rice,Brown Spot,Fungal,Various,Stem lesions,Avoid overhead irrigation,Neem oil spray,Chlorothalonil,Balanced fertilization,Cool weather,Low,28,Balanced NPK,"Rice,Brown Spot"
DIS0536,Rice,Brown Spot,Fungal,Various,Leaf curling,Avoid overhead irrigation,Garlic extract spray,Copper Oxychloride,Proper spacing,Poor air circulation,Medium,46,Balanced NPK,"Rice,Brown Spot"
DIS0537,Rice,Brown Spot,Fungal,Various,Leaf curling,Use certified seeds,Trichoderma application,Metalaxyl,Disease-free seeds,Poor air circulation,Low,56,Balanced NPK,"Rice,Brown Spot"
DIS0538,Rice,Brown Spot,Fungal,Various,Brown spots on leaves,Use certified seeds,Compost tea,Mancozeb,Balanced fertilization,Poor air circulation,Medium,14,Balanced NPK,"Rice,Brown Spot"
DIS0539,Rice,Brown Spot,Fungal,Various,Leaf curling,Apply recommended fungicide,Compost tea,Mancozeb,Balanced fertilization,High humidity,High,30,Balanced NPK,"Rice,Brown Spot"
DIS0540,Rice,Brown Spot,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Trichoderma application,Metalaxyl,Field sanitation,Cool weather,Low,18,Balanced NPK,"Rice,Brown Spot"
DIS0541,Rice,Brown Spot,Fungal,Various,Leaf curling,Avoid overhead irrigation,Neem oil spray,Metalaxyl,Crop rotation,Poor air circulation,Low,20,Balanced NPK,"Rice,Brown Spot"
DIS0542,Rice,Brown Spot,Fungal,Various,Stem lesions,Apply copper-based fungicide,Garlic extract spray,Chlorothalonil,Crop rotation,Poor air circulation,Medium,11,Balanced NPK,"Rice,Brown Spot"
DIS0543,Rice,Brown Spot,Fungal,Various,White fungal growth,Avoid overhead irrigation,Neem oil spray,Copper Oxychloride,Field sanitation,High humidity,High,53,Balanced NPK,"Rice,Brown Spot"
DIS0544,Rice,Brown Spot,Fungal,Various,Wilting,Avoid overhead irrigation,Compost tea,Metalaxyl,Crop rotation,High humidity,Medium,13,Balanced NPK,"Rice,Brown Spot"
